iter	Passed	Remaining
713	4777	1913
714	4786	1908
715	4802	1904
716	4808	1898
717	4813	1890
718	4817	1882
719	4822	1875
720	4826	1867
721	4830	1860
722	4835	1852
723	4840	1845
724	4846	1838
725	4852	1831
726	4857	1824
727	4861	1816
728	4866	1809
729	4876	1803
730	4880	1796
731	4889	1790
732	4896	1783
733	4904	1777
734	4908	1769
735	4913	1762
736	4917	1754
737	4921	1747
738	4925	1739
739	4929	1731
740	4934	1724
741	4940	1718
742	4948	1711
743	4952	1704
744	4956	1696
745	4962	1689
746	4966	1682
747	4971	1674
748	4981	1669
749	4996	1665
750	5001	1658
751	5006	1651
752	5011	1643
753	5015	1636
754	5019	1628
755	5024	1621
756	5028	1614
757	5037	1608
758	5045	1602
759	5049	1594
760	5053	1587
761	5057	1579
762	5066	1573
763	5076	1568
764	5086	1562
765	5094	1556
766	5099	1549
767	5103	1541
768	5108	1534
769	5112	1527
770	5116	1519
771	5121	1512
772	5126	1505
773	5133	1499
774	5140	1492
775	5144	1485
776	5149	1477
777	5153	1470
778	5157	1463
779	5161	1455
780	5169	1449
781	5186	1445
782	5193	1439
783	5197	1432
784	5202	1424
785	5210	1418
786	5217	1412
787	5222	1405
788	5229	1398
789	5237	1392
790	5241	1384
791	5245	1377
792	5249	1370
793	5254	1363
794	5258	1356
795	5267	1350
796	5286	1346
797	5294	1340
798	5319	1338
799	5328	1332
800	5334	1325
801	5338	1318
802	5342	1310
803	5347	1303
804	5351	1296
805	5355	1289
806	5359	1281
807	5365	1274
808	5385	1271
809	5395	1265
810	5413	1261
811	5420	1254
812	5425	1247
813	5430	1240
814	5434	1233
815	5438	1226
816	5443	1219
817	5447	1212
818	5452	1204
819	5460	1198
820	5466	1191
821	5470	1184
822	5481	1178
823	5485	1171
824	5491	1164
825	5495	1157
826	5499	1150
827	5504	1143
828	5509	1136
829	5513	1129
830	5517	1122
831	5522	1115
832	5527	1108
833	5531	1101
834	5536	1093
835	5541	1087
836	5545	1079
837	5550	1073
838	5554	1065
839	5561	1059
840	5572	1053
841	5579	1046
842	5584	1040
843	5589	1033
844	5593	1026
845	5597	1018
846	5602	1011
847	5606	1004
848	5611	997
849	5615	990
850	5619	983
851	5623	976
852	5627	969
853	5632	962
854	5637	955
855	5640	948
856	5645	941
857	5649	934
858	5657	928
859	5672	923
860	5679	916
861	5683	909
862	5688	902
863	5692	896
864	5698	889
865	5704	882
866	5712	876
867	5718	869
868	5722	862
869	5727	855
870	5731	848
871	5736	842
872	5740	835
873	5745	828
874	5751	821
875	5764	815
876	5773	809
877	5781	803
878	5785	796
879	5791	789
880	5796	782
881	5804	776
882	5811	770
883	5815	763
884	5819	756
885	5824	749
886	5828	742
887	5832	735
888	5837	728
